DataReferencia;CodigoInstrumento;AcaoAtualizacao;PrecoNegocio;QuantidadeNegociada;HoraFechamento;CodigoIdentificadorNegocio;TipoSessaoPregao;DataNegocio;CodigoParticipanteComprador;CodigoParticipanteVendedor
2024-07-26;WINQ24;0;127900,000;20;150204137;27086460;1;2024-07-26;8.0;120.0
2024-07-26;JHSF3;0;3,980;100;101126480;900;1;2024-07-26;3.0;8.0
2024-07-26;WDOQ24;0;5637,000;30;95209510;1856760;1;2024-07-26;3.0;3.0
2024-07-26;WINQ24;0;127270,000;1;122234953;19214620;1;2024-07-26;85.0;85.0
2024-07-26;MGLU3F;0;11,980;1;141924520;19650;1;2024-07-26;4090.0;120.0
2024-07-26;WDOQ24;0;5654,500;1;113801340;4747920;1;2024-07-26;147.0;147.0
2024-07-26;BOVAT127;0;2,990;1;163439033;11180;1;2024-07-26;8.0;39.0
2024-07-26;ELET3;0;38,450;100;154519913;140650;1;2024-07-26;59.0;1618.0
2024-07-26;WINQ24;0;126945,000;2;90102673;190570;1;2024-07-26;88.0;1618.0
2024-07-26;WINQ24;0;126790,000;3;110521300;11808470;1;2024-07-26;120.0;4090.0
2024-07-26;WINQ24;0;127250,000;3;120210417;17813290;1;2024-07-26;4090.0;4090.0
2024-07-26;BOVA11;0;123,120;1;123211190;492240;1;2024-07-26;3.0;39.0
2024-07-26;LREN3;0;13,150;100;104702583;31110;1;2024-07-26;8.0;13.0
2024-07-26;VISC11;0;113,690;3;130556803;43970;1;2024-07-26;3.0;3.0
2024-07-26;CCMU24;0;61,040;1;161549033;70760;1;2024-07-26;;
2024-07-26;WINQ24;0;126805,000;5;95523777;4471900;1;2024-07-26;120.0;88.0
2024-07-26;B3SA3;0;10,960;100;112000220;37710;1;2024-07-26;85.0;40.0
2024-07-26;VALE3F;0;61,570;1;145558847;170780;1;2024-07-26;3.0;8.0
2024-07-26;USIMT812;0;1,330;100;141030653;4490;1;2024-07-26;1618.0;3.0
2024-07-26;UGPA3;0;22,060;100;104731287;20500;1;2024-07-26;114.0;13.0
2024-07-26;DI1F33;0;12,150;1;144600407;47930;1;2024-07-26;15.0;88.0
2024-07-26;WINQ24;0;127575,000;3;131233543;21797570;1;2024-07-26;1618.0;1618.0
2024-07-26;WINQ24;0;126820,000;1;93952057;3420050;1;2024-07-26;39.0;1618.0
2024-07-26;WINQ24;0;126825,000;12;105405077;10903300;1;2024-07-26;40.0;39.0
2024-07-26;WINQ24;0;128190,000;3;173022083;33871770;1;2024-07-26;93.0;85.0
2024-07-26;WINQ24;0;128030,000;4;155155110;30400300;1;2024-07-26;120.0;8.0
2024-07-26;CCMF25;0;68,490;1;135921197;5390;1;2024-07-26;;
2024-07-26;HAPV3;0;4,160;100;154433810;275490;1;2024-07-26;238.0;120.0
2024-07-26;DOLQ24;0;5641,000;5;113510653;166210;1;2024-07-26;120.0;1618.0
2024-07-26;BOVA11;0;123,950;1;155720863;1375620;1;2024-07-26;8.0;8.0
2024-07-26;DI1F28;0;12,100;1;95321813;43300;1;2024-07-26;85.0;8.0
2024-07-26;MGLU3;0;11,580;900;111738973;61320;1;2024-07-26;8.0;107.0
2024-07-26;WINQ24;0;128235,000;70;172450653;33767430;1;2024-07-26;3.0;3.0
2024-07-26;DOLQ24;0;5634,500;5;102121997;101690;1;2024-07-26;85.0;39.0
